record_id,record_date,record_title,topic,catalog_url,pdf_url,page_range,first_page,last_page,page_count,page_url,page_role,page_role_label,review_priority,first_page_signal,suggested_action
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","13-14","13","14","2","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=13","released_or_context_text","Released/context text","2","______.3""'3c-.-1,..7nc87""""'B""'~E....--...F""'""IN.....--------- ----","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","15","15","15","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=15","withdrawal_sheet","Withdrawal sheet","3","Withdrawal/Redaction Sheet","Record withheld-document metadata, exemptions, and dates; queue replacement search or onsite review if volume-relevant."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","16-18","16","18","3","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=16","released_document_text","Released document text","1","- ---------------------------------------------,=:---:--::-:::----------.","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","19-26","19","26","8","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=19","released_or_context_text","Released/context text","2","3300C8B6.FIN Page 2 of75","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","27","27","27","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=27","released_document_text","Released document text","1","3300C8B6.FIN Page 10 of75","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","28-31","28","31","4","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=28","released_or_context_text","Released/context text","2","3300C8B6.FIN Page 11 of75","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","32","32","32","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=32","released_document_text","Released document text","1","3300C8B6.FIN Page 15 of75","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","33-51","33","51","19","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=33","released_or_context_text","Released/context text","2","3300C8B6.FIN Page 16 of75","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","52","52","52","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=52","released_document_text","Released document text","1","----------------------------------------------------------.","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","53-54","53","54","2","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=53","released_or_context_text","Released/context text","2","-~----------","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","55-57","55","57","3","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=55","released_document_text","Released document text","1","3300C8B6.FIN Page 38 of75","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","58","58","58","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=58","released_or_context_text","Released/context text","2","3300C8B6.FIN Page 41 of75","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","59","59","59","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=59","released_document_text","Released document text","1","3300C8B6.FIN Page 42 of75","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","60-73","60","73","14","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=60","released_or_context_text","Released/context text","2","3300C8B6.FIN Page 43 of75","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","74","74","74","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=74","released_document_text","Released document text","1","3300C8B6.FIN Page 57 of75","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","75-79","75","79","5","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=75","released_or_context_text","Released/context text","2","3300C8B6.FIN Page 58 of75","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","80-81","80","81","2","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=80","released_document_text","Released document text","1","3300C8B6.FIN Page 63 of75","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","82-89","82","89","8","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=82","released_or_context_text","Released/context text","2","3300C8B6.FIN Page 65 of75","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","90","90","90","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=90","released_document_text","Released document text","1","3300C8B6.FIN Page 73 of75","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","91-92","91","92","2","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=91","released_or_context_text","Released/context text","2","3300C8B6.FIN Page 74 of75","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","93","93","93","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=93","released_document_text","Released document text","1","33178560.FIN Page~. of3","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","94-95","94","95","2","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=94","released_or_context_text","Released/context text","2","33178560.FIN Page 2 of3","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","96","96","96","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=96","withdrawal_sheet","Withdrawal sheet","3","Withdrawal/Redaction Sheet","Record withheld-document metadata, exemptions, and dates; queue replacement search or onsite review if volume-relevant."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","97","97","97","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=97","released_document_text","Released document text","1","333IEAD8.FIN Page I of I","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","98","98","98","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=98","withdrawal_sheet","Withdrawal sheet","3","Withdrawal/Redaction Sheet","Record withheld-document metadata, exemptions, and dates; queue replacement search or onsite review if volume-relevant."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","99-102","99","102","4","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=99","released_document_text","Released document text","1","349F97FC.FIN Page 1 of 5","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","103-104","103","104","2","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=103","released_or_context_text","Released/context text","2","349F97FC.FIN Page 5 of7","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","105","105","105","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=105","blank_or_image_only","Blank or image-only","4","N","Open the PDF image directly and verify whether the page is blank, a divider, or a scan without useful text."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","106","106","106","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=106","released_or_context_text","Released/context text","2","34A75A98.FIN Page 4 of47","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","107-108","107","108","2","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=107","withdrawal_sheet","Withdrawal sheet","3","Withdrawal/Redaction Sheet","Record withheld-document metadata, exemptions, and dates; queue replacement search or onsite review if volume-relevant."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","109-113","109","113","5","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=109","released_document_text","Released document text","1","11D5FC3B.FIN Page 1 of2","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","114","114","114","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=114","released_or_context_text","Released/context text","2","11DC56DC.FIN","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","115-120","115","120","6","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=115","released_document_text","Released document text","1","11DC5CFB.FIN Page 1 of2","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","121","121","121","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=121","withdrawal_sheet","Withdrawal sheet","3","Withdrawal/Redaction Sheet","Record withheld-document metadata, exemptions, and dates; queue replacement search or onsite review if volume-relevant."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","122-123","122","123","2","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=122","released_document_text","Released document text","1","342B5BB7.FIN Page 1 of27","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","124-148","124","148","25","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=124","released_or_context_text","Released/context text","2","342B5BB7.FIN Page 3 of27","Skim for document boundary, attachment, duplicate, or context; promote only if it carries decision-grade evidence."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","149","149","149","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=149","withdrawal_sheet","Withdrawal sheet","3","Withdrawal/Redaction Sheet","Record withheld-document metadata, exemptions, and dates; queue replacement search or onsite review if volume-relevant."
"clinton-v27-023","1995-05-16","Mugabe visit briefing packet and talking points","Southern African Democracy, Health, and Economic Policy","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","150","150","150","1","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf#page=150","released_document_text","Released document text","1","Mrican/African-American Summit: Updated 7116/97","Read closely for possible document extraction; capture boundary, markings, page span, and selection rationale."
